"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTYGAP","18_65","RT","A","2012",0.323,
"AUS","POVERTYGAP","18_65","RT","A","2014",0.328,
"AUS","POVERTYGAP","18_65","RT","A","2016",0.348,
"AUS","POVERTYGAP","18_65","RT","A","2018",0.343,
"AUS","POVERTYGAP","18_65","RT","A","2020",0.373,
"AUT","POVERTYGAP","18_65","RT","A","2007",0.284,
"AUT","POVERTYGAP","18_65","RT","A","2008",0.321,
"AUT","POVERTYGAP","18_65","RT","A","2009",0.333,
"AUT","POVERTYGAP","18_65","RT","A","2010",0.313,
"AUT","POVERTYGAP","18_65","RT","A","2011",0.341,
"AUT","POVERTYGAP","18_65","RT","A","2012",0.331,
"AUT","POVERTYGAP","18_65","RT","A","2013",0.288,
"AUT","POVERTYGAP","18_65","RT","A","2014",0.287,
"AUT","POVERTYGAP","18_65","RT","A","2015",0.334,
"AUT","POVERTYGAP","18_65","RT","A","2016",0.363,
"AUT","POVERTYGAP","18_65","RT","A","2017",0.299,
"AUT","POVERTYGAP","18_65","RT","A","2018",0.317,
"AUT","POVERTYGAP","18_65","RT","A","2019",0.294,
"AUT","POVERTYGAP","18_65","RT","A","2020",0.314,
"BEL","POVERTYGAP","18_65","RT","A","2018",0.23,
"BEL","POVERTYGAP","18_65","RT","A","2019",0.244,
"BEL","POVERTYGAP","18_65","RT","A","2020",0.228,
"CAN","POVERTYGAP","18_65","RT","A","2005",0.341,
"CAN","POVERTYGAP","18_65","RT","A","2006",0.329,
"CAN","POVERTYGAP","18_65","RT","A","2007",0.332,
"CAN","POVERTYGAP","18_65","RT","A","2008",0.34,
"CAN","POVERTYGAP","18_65","RT","A","2009",0.336,
"CAN","POVERTYGAP","18_65","RT","A","2010",0.331,
"CAN","POVERTYGAP","18_65","RT","A","2011",0.344,
"CAN","POVERTYGAP","18_65","RT","A","2012",0.357,
"CAN","POVERTYGAP","18_65","RT","A","2013",0.371,
"CAN","POVERTYGAP","18_65","RT","A","2014",0.353,
"CAN","POVERTYGAP","18_65","RT","A","2015",0.347,
"CAN","POVERTYGAP","18_65","RT","A","2016",0.355,
"CAN","POVERTYGAP","18_65","RT","A","2017",0.36,
"CAN","POVERTYGAP","18_65","RT","A","2018",0.359,
"CAN","POVERTYGAP","18_65","RT","A","2019",0.365,
"CAN","POVERTYGAP","18_65","RT","A","2020",0.327,
"CZE","POVERTYGAP","18_65","RT","A","2005",0.211,
"CZE","POVERTYGAP","18_65","RT","A","2006",0.237,
"CZE","POVERTYGAP","18_65","RT","A","2007",0.24,
"CZE","POVERTYGAP","18_65","RT","A","2008",0.246,
"CZE","POVERTYGAP","18_65","RT","A","2009",0.248,
"CZE","POVERTYGAP","18_65","RT","A","2010",0.248,
"CZE","POVERTYGAP","18_65","RT","A","2011",0.252,
"CZE","POVERTYGAP","18_65","RT","A","2012",0.261,
"CZE","POVERTYGAP","18_65","RT","A","2013",0.22,
"CZE","POVERTYGAP","18_65","RT","A","2014",0.25,
"CZE","POVERTYGAP","18_65","RT","A","2015",0.224,
"CZE","POVERTYGAP","18_65","RT","A","2016",0.247,
"CZE","POVERTYGAP","18_65","RT","A","2017",0.244,
"CZE","POVERTYGAP","18_65","RT","A","2018",0.235,
"CZE","POVERTYGAP","18_65","RT","A","2019",0.24,
"CZE","POVERTYGAP","18_65","RT","A","2020",0.273,
"DNK","POVERTYGAP","18_65","RT","A","2011",0.351,
"DNK","POVERTYGAP","18_65","RT","A","2012",0.353,
"DNK","POVERTYGAP","18_65","RT","A","2013",0.352,
"DNK","POVERTYGAP","18_65","RT","A","2014",0.343,
"DNK","POVERTYGAP","18_65","RT","A","2015",0.345,
"DNK","POVERTYGAP","18_65","RT","A","2016",0.338,
"DNK","POVERTYGAP","18_65","RT","A","2017",0.335,
"DNK","POVERTYGAP","18_65","RT","A","2018",0.332,
"DNK","POVERTYGAP","18_65","RT","A","2019",0.326,
"FIN","POVERTYGAP","18_65","RT","A","2005",0.242,
"FIN","POVERTYGAP","18_65","RT","A","2006",0.237,
"FIN","POVERTYGAP","18_65","RT","A","2007",0.243,
"FIN","POVERTYGAP","18_65","RT","A","2008",0.246,
"FIN","POVERTYGAP","18_65","RT","A","2009",0.245,
"FIN","POVERTYGAP","18_65","RT","A","2010",0.253,
"FIN","POVERTYGAP","18_65","RT","A","2011",0.244,
"FIN","POVERTYGAP","18_65","RT","A","2012",0.265,
"FIN","POVERTYGAP","18_65","RT","A","2013",0.244,
"FIN","POVERTYGAP","18_65","RT","A","2014",0.244,
"FIN","POVERTYGAP","18_65","RT","A","2015",0.255,
"FIN","POVERTYGAP","18_65","RT","A","2016",0.255,
"FIN","POVERTYGAP","18_65","RT","A","2017",0.238,
"FIN","POVERTYGAP","18_65","RT","A","2018",0.249,
"FIN","POVERTYGAP","18_65","RT","A","2019",0.24,
"FIN","POVERTYGAP","18_65","RT","A","2020",0.251,
"FIN","POVERTYGAP","18_65","RT","A","2021",0.244,
"FRA","POVERTYGAP","18_65","RT","A","2012",0.286,
"FRA","POVERTYGAP","18_65","RT","A","2013",0.27,
"FRA","POVERTYGAP","18_65","RT","A","2014",0.286,
"FRA","POVERTYGAP","18_65","RT","A","2015",0.265,
"FRA","POVERTYGAP","18_65","RT","A","2016",0.27,
"FRA","POVERTYGAP","18_65","RT","A","2017",0.281,
"FRA","POVERTYGAP","18_65","RT","A","2018",0.267,
"FRA","POVERTYGAP","18_65","RT","A","2019",0.296,
"DEU","POVERTYGAP","18_65","RT","A","2008",0.254,
"DEU","POVERTYGAP","18_65","RT","A","2011",0.256,
"DEU","POVERTYGAP","18_65","RT","A","2012",0.238,
"DEU","POVERTYGAP","18_65","RT","A","2013",0.242,
"DEU","POVERTYGAP","18_65","RT","A","2014",0.291,
"DEU","POVERTYGAP","18_65","RT","A","2015",0.288,
"DEU","POVERTYGAP","18_65","RT","A","2016",0.291,
"DEU","POVERTYGAP","18_65","RT","A","2017",0.283,
"DEU","POVERTYGAP","18_65","RT","A","2018",0.287,
